,Location,Starting a Business score,Procedure – Men (number),Time – Men (days),Cost – Men (% of income per capita),Procedure – Women (number),Time – Women (days),Cost – Women (% of income per capita),Paid-in min. capital (% of income per capita),Starting a Business rank
,Tajikistan,93.2,3,7,17.5,3,7,17.5,0.0,36
,Tanzania,74.4,10,29.5,40.6,10,29.5,40.6,0.0,162
,Thailand,92.4,5,6,3.0,5,6,3.0,0.0,47
,Timor-Leste,89.4,6,13,0.7,6,13,0.7,0.3,68
,Togo,95.1,3,2.5,8.1,3,2.5,8.1,6.7,15
,Tonga,90.9,4,16,6.0,4,16,6.0,0.0,62
,Trinidad and Tobago,88.6,7,10.5,0.7,7,10.5,0.7,0.0,79
,Tunisia,94.6,3,9,2.9,3,9,2.9,0.0,19
,Turkey,88.8,7,7,6.0,7,7,6.0,0.0,77
,Uganda,71.4,13,24,40.5,13,24,40.5,0.0,169
,Ukraine,91.1,6,6.5,0.5,6,6.5,0.5,0.0,61
,United Arab Emirates,94.8,2,3.5,17.2,3,4.5,17.2,0.0,17
,United Kingdom,94.6,4,4.5,0.0,4,4.5,0.0,0.0,18
,United States,91.6,6,4,1.0,6,4,1.0,0.0,55
,United States - Los Angeles,91.6,6,4.5,0.7,6,4.5,0.7,0.0,..
,United States - New York City,91.6,6,4,1.2,6,4,1.2,0.0,..
,Uruguay,89.6,5,6.5,24.1,5,6.5,24.1,0.0,66
,Uzbekistan,96.2,3,3,2.2,3,3,2.2,0.0,8
,Vanuatu,81.5,7,18,42.5,7,18,42.5,0.0,137
,"Venezuela, RB",25.0,20,230,211.8,20,230,211.8,0.0,190
,Vietnam,85.1,8,16,5.6,8,16,5.6,0.0,115
,West Bank and Gaza,70.2,10,43,40.3,11,44,40.3,0.0,173
,"Yemen, Rep.",76.8,6,40,40.2,7,41,40.2,0.0,156
,Zambia,84.9,7,8.5,34.0,7,8.5,34.0,0.0,117
,Zimbabwe,72.0,9,27,76.6,9,27,76.6,0.0,167
