,Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,female,w,lnw
21,43,954001919079770,January,AL,2847.5801,826.92,40,44,1,,31,2,7,0,0,"Native, Born In US",63,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,20.673,3.0288285010431806
84,199,678011962039080,January,AL,2424.1925,1000.0,56,44,2,,57,2,7,0,0,"Native, Born In US",63,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,,Employed-At Work,1,17.857142857142858,2.882403588246988
171,401,20902093001906,January,AK,429.0975,1000.0,40,44,1,,25,2,7,0,0,"Native, Born In US",94,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,25.0,3.2188758248682006
358,784,140603073808694,January,AZ,4664.7207,1057.69,40,44,1,,54,2,1,0,0,"Native, Born In US",86,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,26.44225,3.274963109698682
492,1097,985989670786005,January,AR,1876.4358,1288.46,40,44,1,,61,1,1,0,0,"Native, Born In US",71,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,0,32.2115,3.472323531647176
607,1367,74770360994195,January,CA,2937.0417,1307.69,40,44,1,,43,2,1,2,3,"Native, Born In US",93,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,1,32.69225,3.4871380467554407
890,1972,700609960450687,January,CA,3303.7238,1854.16,40,44,1,,51,2,1,2,10,"Native, Born In US",93,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,46.354,3.8363075881803677
1172,2617,207906930896246,January,CA,2776.7982,1107.69,40,45,1,,39,2,1,2,3,"Native, Born In US",93,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,27.69225,3.3211525906531154
1305,2923,679520952590970,January,CA,3122.8466,1153.84,40,44,1,,46,2,1,2,4,"Native, Born In US",93,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,28.845999999999997,3.3619713351613183
1539,3486,946779870509008,January,CA,3285.5299,961.0,40,44,1,,28,2,1,1,1,"Native, Born In US",93,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1,24.025,3.1790949548563563
1735,3854,899710637400670,January,CO,1692.5003,317.3,36,44,1,,34,2,6,3,3,"Native, Born In US",84,Elementary and secondary schools (6111),2310,Government - Local,No,Yes,Employed-At Work,1,8.81388888888889,2.17632876013304
1913,4228,958039913079320,January,CT,1240.1555,1030.0,40,44,1,,36,2,1,2,5,"Native, Born In US",CT,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1,25.75,3.248434627109745
1971,4325,107700670594249,January,CT,1294.7677,884.0,40,44,1,,33,2,7,0,0,"Native, Born In US",CT,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,22.1,3.095577608523707
2069,4540,977098479900643,January,CT,1204.0516,1698.5,50,45,1,,46,2,1,2,10,"Native, Born In US",CT,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,33.97,3.5254777821724925
2140,4691,103093706084031,January,DE,484.0664,1192.3,45,44,1,,35,2,1,3,8,"Native, Born In US",51,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,26.495555555555555,3.2769770040417665
2219,4869,290529430239100,January,DE,576.7156,1096.15,40,44,1,,29,2,7,0,0,"Native, Born In US",51,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,27.403750000000002,3.310679865343238
2315,5081,82301310795977,January,DC,267.9199,769.0,40,45,1,8.0,47,2,7,1,4,"Foreign Born, US Cit By Naturalization",53,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,19.225,2.9562115153917077
2511,5445,7006691105772,January,FL,4096.4624,571.0,40,44,1,,32,2,5,3,3,"Native, Born In US",59,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,,Employed-At Work,1,14.275,2.658509755542074
2579,5595,570920092113599,January,FL,4276.3337,769.23,40,44,2,,27,2,7,0,0,"Native, Born In US",59,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,19.23075,2.9565105604002095
2609,5659,930928092913529,January,FL,3994.8624,865.38,40,44,1,,62,2,1,0,0,"Native, Born In US",59,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,21.6345,3.0742892627095375
2617,5684,971052789179530,January,FL,3361.1596,844.0,40,44,2,,51,2,5,0,0,"Native, Born In US",59,Elementary and secondary schools (6111),2310,Government - Local,No,Yes,Employed-At Work,1,21.1,3.0492730404820207
2643,5731,7906951199682,January,FL,3554.3579,1056.81,40,44,1,3.0,44,2,1,2,8,"Native, Born In US",59,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,26.42025,3.2741307615777973
2648,5739,16711320975093,January,FL,4114.3771,769.23,40,44,1,,36,1,1,2,1,"Native, Born In US",59,Elementary and secondary schools (6111),2310,Government - Local,No,Yes,Employed-At Work,0,19.23075,2.9565105604002095
2688,5846,107907701591822,January,FL,3854.5951,769.0,40,44,2,,33,2,1,2,3,"Native, Born In US",59,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,19.225,2.9562115153917077
2746,6011,310200069555814,January,FL,3811.4846,865.38,40,44,1,,44,2,5,2,10,"Native, Born In US",59,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,21.6345,3.0742892627095375
2836,6261,912889470059106,January,FL,3689.9775,1250.0,50,44,4,,52,1,7,0,0,"Foreign Born, US Cit By Naturalization",59,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,25.0,3.2188758248682006
2959,6596,107047606044341,January,GA,4690.0706,1153.84,40,46,2,,37,1,1,3,5,"Native, Born In US",58,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,0,28.845999999999997,3.3619713351613183
2981,6647,310300012785116,January,GA,2892.2199,850.0,42,45,1,,42,2,1,1,2,"Native, Born In US",58,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,20.238095238095237,3.0075667312009937
3054,6776,923099030799108,January,GA,3342.6426,673.0,60,44,1,,51,2,1,0,0,"Native, Born In US",58,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,11.216666666666667,2.417400767422627
3072,6808,955083989179170,January,GA,2804.8131,961.53,40,45,1,,40,1,1,0,0,"Native, Born In US",58,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,0,24.038249999999998,3.179646311676199
3087,6834,993119570499101,January,GA,2990.149,380.0,20,44,1,,32,2,1,1,4,"Native, Born In US",58,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,19.0,2.9444389791664403
3120,6937,23271330015208,January,GA,2872.8299,980.76,40,44,1,,34,1,1,1,1,"Native, Born In US",58,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,0,24.519,3.199448327202102
3133,6967,399430962440971,January,GA,3226.1117,576.92,40,44,1,,55,2,5,0,0,"Native, Born In US",58,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,14.422999999999998,2.668824154601373
3138,6976,399740827690971,January,GA,2974.7655,761.0,40,44,1,,28,2,7,1,2,"Native, Born In US",58,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,19.025,2.9457539037477494
3145,6989,832102320300175,January,GA,3282.2209,961.53,40,44,1,,48,2,1,0,0,"Native, Born In US",58,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,24.038249999999998,3.179646311676199
3158,7020,964093995139460,January,GA,2628.4904,1019.23,40,44,1,,43,2,5,3,10,"Native, Born In US",58,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,25.48075,3.2379232651216294
3245,7201,27691750999086,January,HI,471.8419,761.0,40,44,4,,35,2,1,0,0,"Native, Born In US",95,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,19.025,2.9457539037477494
3253,7215,88511350926995,January,HI,490.6224,1875.0,40,44,8,,35,2,5,4,8,"Native, Born In US",95,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,46.875,3.847484484290575
3396,7542,261943067908090,January,ID,1027.2841,961.0,50,44,1,,60,2,1,0,0,"Native, Born In US",82,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,19.22,2.9559514035421466
3428,7608,507009941109856,January,ID,983.9869,1153.0,40,44,1,,51,2,1,0,0,"Native, Born In US",82,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,28.825,3.3612430661551227
3673,8166,310709763719383,January,IL,2409.6205,1153.84,40,44,1,2.0,41,2,1,0,0,"Native, Born In US",IL,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,28.845999999999997,3.3619713351613183
3727,8277,710709989628182,January,IL,2537.7383,961.0,40,44,1,,39,2,1,2,8,"Native, Born In US",IL,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,24.025,3.1790949548563563
3938,8724,281033047001105,January,IN,3624.6461,380.0,20,44,1,,35,2,1,2,1,"Native, Born In US",IN,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,19.0,2.9444389791664403
3965,8794,952068986179890,January,IN,2804.3492,807.69,50,44,1,,52,2,5,0,0,"Native, Born In US",IN,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,1,16.1538,2.782155316108993
3993,8869,899760063330971,January,IN,2612.1582,1900.0,40,44,1,,56,2,1,1,4,"Native, Born In US",IN,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,47.5,3.8607297110405954
4025,8929,230986065013269,January,IN,3696.4966,1440.0,40,44,1,,43,2,1,1,3,"Native, Born In US",IN,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,,Employed-At Work,1,36.0,3.58351893845611
4167,9186,840990093313199,January,IA,1272.1743,1019.23,40,44,1,,58,2,5,0,0,"Native, Born In US",IA,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,25.48075,3.2379232651216294
4170,9195,900997070913839,January,IA,1137.0429,650.0,40,44,1,,30,2,1,2,5,"Native, Born In US",IA,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,16.25,2.7880929087757464
4357,9506,550909073123509,January,KS,1613.7597,800.0,45,44,1,,43,2,1,2,3,"Native, Born In US",47,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,1,17.77777777777778,2.8779492378976075
4402,9583,802970057908999,January,KS,1673.9524,807.69,50,44,1,,29,2,7,0,0,"Native, Born In US",47,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,16.1538,2.782155316108993
4478,9756,102247057001708,January,KS,1656.5756,1500.0,40,44,1,,63,2,5,0,0,"Native, Born In US",47,Elementary and secondary schools (6111),2310,Government - Federal,Yes,,Employed-At Work,1,37.5,3.624340932976365
4508,9816,7102712106921,January,KY,2014.5347,1825.0,40,44,1,,44,2,5,4,3,"Native, Born In US",61,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,,Employed-At Work,1,45.625,3.8204558119026557
4630,10054,700913063627249,January,KY,2109.8384,876.92,35,44,1,,31,2,1,2,8,"Native, Born In US",61,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,25.05485714285714,3.221067706653551
4748,10305,938092992279370,January,LA,3056.9056,1171.84,40,44,1,,37,2,1,2,8,"Native, Born In US",72,Elementary and secondary schools (6111),2310,Government - Local,No,Yes,Employed-At Work,1,29.296,3.377450987932155
4775,10373,722176097908596,January,LA,3353.3137,646.15,40,44,1,,39,2,1,2,10,"Native, Born In US",72,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,16.15375,2.782152220857264
4848,10548,669053969239580,January,ME,537.399,1000.0,45,44,1,,56,2,4,0,0,"Native, Born In US",ME,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,22.22222222222222,3.101092789211817
4928,10727,435295069300844,January,ME,584.9882,1057.69,50,44,1,,54,2,1,1,4,"Native, Born In US",ME,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,21.1538,3.0518195583844725
5139,11165,442885047906098,January,MD,2006.1252,1896.15,40,44,2,,41,2,5,3,10,"Native, Born In US",52,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,47.40375,3.85870133949574
5225,11327,737276839400831,January,MD,1793.1531,1923.07,40,44,2,,52,1,1,2,3,"Native, Born In US",52,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,0,48.07675,3.872798692268385
5268,11402,944969630159205,January,MD,1572.4267,539.0,35,44,1,,36,2,7,0,0,"Native, Born In US",52,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,15.4,2.7343675094195836
5277,11418,972024927239160,January,MD,2070.7275,1250.0,35,44,2,,31,1,1,2,2,"Native, Born In US",52,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,35.714285714285715,3.575550768806933
5310,11513,921004941239350,January,MD,1572.4267,1057.69,55,44,1,,39,2,7,0,0,"Native, Born In US",52,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,19.230727272727275,2.9565093785801477
5338,11581,953055974239130,January,MA,3217.6485,1153.84,45,44,1,4.0,45,2,6,0,0,"Native, Born In US",MA,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,25.640888888888888,3.244188299504935
5357,11616,107906312896945,January,MA,2940.2653,1187.5,27,44,1,,56,2,1,0,0,"Native, Born In US",MA,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,43.98148148148148,3.7837686699044673
5473,11873,503907592697235,January,MA,4387.0036,2884.61,50,44,1,,36,1,1,2,6,"Native, Born In US",MA,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,57.6922,4.0551219824004106
5474,11874,503907592697235,January,MA,3779.4547,1423.07,50,44,1,,36,2,1,2,6,"Native, Born In US",MA,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,28.461399999999998,3.348548783300035
5571,12099,203906922395976,January,MI,3138.4134,942.3,40,44,1,,30,2,1,2,1,"Native, Born In US",MI,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1,23.557499999999997,3.159444241098774
5723,12449,699530379490972,January,MI,2914.8464,1192.5,45,44,1,,43,2,3,0,0,"Native, Born In US",MI,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,,Employed-At Work,1,26.5,3.2771447329921766
5757,12527,72115037906195,January,MN,2025.3854,1192.3,50,44,1,,28,1,1,1,1,"Native, Born In US",MN,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,0,23.846,3.17161648838394
5768,12548,279927300028778,January,MN,1604.3606,1595.23,40,44,1,,52,1,1,0,0,"Native, Born In US",MN,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,0,39.88075,3.685893751336057
5769,12549,279927300028778,January,MN,1708.1164,1952.38,45,44,1,,49,2,1,0,0,"Native, Born In US",MN,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,43.38622222222222,3.7701419303877053
5830,12669,52132370793094,January,MN,1570.4924,961.0,40,44,1,,59,2,7,0,0,"Native, Born In US",MN,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,1,24.025,3.1790949548563563
5886,12768,607104162102637,January,MN,1670.306,490.38,22,44,1,,48,2,1,2,10,"Native, Born In US",MN,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,22.29,3.1041381473977774
5929,12856,799570102170732,January,MN,1701.0543,1403.84,50,44,1,,50,2,7,0,0,"Native, Born In US",MN,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,28.0768,3.334943612549703
6076,13169,239208070800100,January,MS,3289.0535,865.38,40,44,1,,42,2,1,2,10,"Native, Born In US",64,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,1,21.6345,3.0742892627095375
6107,13276,707602522990278,January,MS,2019.1524,1275.0,40,44,1,,51,2,4,1,3,"Native, Born In US",64,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,31.875,3.46182200347859
6115,13303,899580195860672,January,MS,2019.1524,415.38,40,44,1,,51,2,1,0,0,"Native, Born In US",64,Elementary and secondary schools (6111),2310,Government - Local,No,Yes,Employed-At Work,1,10.3845,2.340314309804053
6191,13477,53642390970399,January,MO,2350.9854,942.3,45,44,1,,40,2,1,1,3,"Native, Born In US",MO,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,20.939999999999998,3.0416612054423906
6228,13549,503900212691079,January,MO,2709.0935,1346.15,40,44,1,,45,2,1,1,3,"Native, Born In US",MO,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,33.65375,3.516124491189194
6377,13848,140907095733479,January,MT,905.5636,730.76,60,44,1,,28,2,1,0,0,"Native, Born In US",81,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,12.179333333333334,2.4997405262462684
6473,14065,330109941982183,January,NE,933.5458,1190.47,43,44,1,,31,2,7,0,0,"Native, Born In US",46,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1,27.685348837209304,3.320903350419832
6538,14164,607702233690561,January,NE,971.2313,2038.0,40,44,1,,28,2,7,0,0,"Native, Born In US",46,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1,50.95,3.9308447596687337
6592,14273,707001939379890,January,NE,802.906,1250.0,40,44,1,,58,2,1,0,0,"Native, Born In US",46,Elementary and secondary schools (6111),2310,Government - Local,No,Yes,Employed-At Work,1,31.25,3.4420193761824107
6628,14347,34903710795395,January,NE,961.2226,692.3,45,44,1,,53,2,5,0,0,"Native, Born In US",46,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,15.384444444444444,2.73335689791366
6660,14395,730109972089188,January,NE,935.1404,954.54,35,44,1,,26,2,1,0,0,"Native, Born In US",46,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,27.27257142857143,3.30588148755579
6735,14544,507906983891582,January,NV,1336.2416,1125.0,45,44,1,,40,2,1,0,0,"Native, Born In US",88,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,25.0,3.2188758248682006
6758,14601,123963093006014,January,NV,1368.0951,1153.84,40,44,2,,52,2,7,1,4,"Native, Born In US",88,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,28.845999999999997,3.3619713351613183
6969,15016,233412057906692,January,NH,513.0103,1115.38,45,44,1,,39,2,1,2,5,"Native, Born In US",NH,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,24.786222222222225,3.210287943237214
7004,15089,631314560300159,January,NH,428.9976,1250.0,50,44,1,,49,2,5,0,0,"Native, Born In US",NH,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1,25.0,3.2188758248682006
7256,15578,443413033908093,January,NJ,3455.4813,1744.18,35,44,1,,34,2,1,3,11,"Native, Born In US",NJ,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,49.83371428571429,3.908691748662796
7328,15710,850944094933739,January,NJ,3455.4813,1423.0,40,44,1,,33,2,1,1,1,"Native, Born In US",NJ,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,35.575,3.571643143975916
7406,15845,914089830959306,January,NJ,3150.2462,1057.69,40,44,2,,55,2,5,0,0,"Native, Born In US",NJ,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,26.44225,3.274963109698682
7588,16259,330609981829353,January,NY,2711.6308,2884.61,60,44,2,,39,2,1,3,6,"Foreign Born, US Cit By Naturalization",NY,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,48.07683333333333,3.8728004256064557
7606,16300,392973806016625,January,NY,3715.3232,1634.61,40,44,1,,55,1,7,0,0,"Native, Born In US",NY,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,0,40.865249999999996,3.710280068654017
7708,16553,774395129600589,January,NY,3859.0449,1384.61,40,44,1,,32,2,1,0,0,"Native, Born In US",NY,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,34.615249999999996,3.544294336406378
7737,16617,947016498339250,January,NY,2285.4967,1700.0,35,44,2,,44,2,1,0,0,"Foreign Born, US Cit By Naturalization",NY,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,48.57142857142857,3.8830354685548936
7764,16679,164006633300,January,NY,3889.644,1120.0,40,44,1,,61,2,1,0,0,"Native, Born In US",NY,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,28.0,3.332204510175204
7785,16719,62283360991095,January,NY,2722.6266,1538.0,40,44,1,,42,2,1,3,3,"Native, Born In US",NY,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,38.45,3.649358695951653
7833,16810,363629093906893,January,NY,2673.9498,2300.0,40,44,1,,35,2,1,1,1,"Native, Born In US",NY,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,57.5,4.051784947803305
7847,16846,397903404036668,January,NY,3380.9261,2692.3,40,44,1,,58,2,1,0,0,"Native, Born In US",NY,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,67.3075,4.209271671749139
7862,16887,536392369600802,January,NY,3964.0182,2620.0,40,46,4,,36,1,1,2,5,"Foreign Born, Not a US Citizen",NY,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,0,65.5,4.182050142641207
7899,16968,730609983842784,January,NY,2722.6266,1615.38,30,44,1,,44,2,1,3,10,"Native, Born In US",NY,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,53.846000000000004,3.986128120434929
7902,16976,737393449600660,January,NY,3250.0239,1057.0,40,44,2,,56,2,1,1,4,"Native, Born In US",NY,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,26.425,3.2743105317563015
7970,17117,309067705090611,January,NY,2639.0251,1096.15,35,44,1,,43,2,1,1,3,"Native, Born In US",NY,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,31.31857142857143,3.4442112579677606
8031,17263,922036959379890,January,NY,3884.4964,1575.0,40,44,2,,41,2,1,3,3,"Foreign Born, US Cit By Naturalization",NY,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1,39.375,3.6731310971457973
8033,17265,923046999339530,January,NY,2503.4696,1134.61,40,44,1,,37,2,1,2,8,"Native, Born In US",NY,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,28.365249999999996,3.34516480441852
8147,17490,398977500096778,January,NC,3107.5579,2692.0,40,44,1,,58,2,1,0,0,"Native, Born In US",56,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,67.3,4.209160236650682
8373,18020,330809977906486,January,ND,552.0073,1388.88,40,44,1,,35,1,1,2,2,"Native, Born In US",ND,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,0,34.722,3.547373491819757
8374,18021,330809977906486,January,ND,405.7736,1388.88,40,44,1,,34,2,1,2,2,"Native, Born In US",ND,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,34.722,3.547373491819757
8517,18307,193927063001101,January,OH,3531.1408,927.0,40,44,1,,51,2,1,0,0,"Native, Born In US",OH,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,23.175,3.1430741114519187
8576,18420,499819770869307,January,OH,3345.9194,2634.0,40,44,1,,33,2,1,1,2,"Native, Born In US",OH,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,1,65.85,4.18737942818929
8625,18538,932029921379920,January,OH,3150.9155,1200.0,45,44,1,,43,1,1,7,10,"Native, Born In US",OH,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,26.666666666666668,3.283414346005772
8690,18682,430996065733129,January,OH,3143.2087,1115.38,50,44,1,,45,2,1,1,3,"Native, Born In US",OH,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,22.3076,3.1049274275793874
8833,18977,950719070419405,January,OK,2634.2117,1153.84,40,44,1,,42,1,1,3,14,"Native, Born In US",73,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,0,28.845999999999997,3.3619713351613183
8888,19126,910903060943069,January,OK,2068.5989,692.3,40,44,1,,46,2,7,1,4,"Native, Born In US",73,Elementary and secondary schools (6111),2310,Government - State,No,Yes,Employed-At Work,1,17.307499999999997,2.8511399335700434
8940,19225,907903304899071,January,OR,2030.6523,576.0,50,44,2,,44,1,1,2,6,"Native, Born In US",92,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,,Employed-At Work,0,11.52,2.444084655267745
8998,19368,960913097847349,January,OR,2126.0101,1038.46,50,44,1,,29,2,7,0,0,"Native, Born In US",92,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,20.7692,3.033471120054259
9075,19589,500925092343219,January,PA,2983.9494,1153.84,40,44,1,,47,2,1,0,0,"Native, Born In US",PA,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,28.845999999999997,3.3619713351613183
9152,19739,224249013906891,January,PA,3661.1614,634.0,40,44,1,,34,2,1,0,0,"Native, Born In US",PA,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1,15.85,2.7631695003232895
9216,19871,524814023001607,January,PA,3308.6699,1317.3,50,44,1,,42,1,1,2,6,"Native, Born In US",PA,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,0,26.346,3.2713164608076353
9217,19872,524814023001607,January,PA,3326.984,1317.3,50,44,1,,38,2,1,2,6,"Native, Born In US",PA,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,26.346,3.2713164608076353
9382,20242,402063400042291,January,PA,3338.7381,1480.76,40,44,1,,42,2,1,1,3,"Native, Born In US",PA,Elementary and secondary schools (6111),2310,"Private, Nonprofit",Yes,,Employed-At Work,1,37.019,3.6114312943547935
9520,20587,499600616920734,January,RI,439.4149,1057.0,35,44,1,,46,2,1,3,4,"Native, Born In US",RI,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,30.2,3.407841924380824
9638,20825,945479370557401,January,SC,2899.999,769.23,40,44,1,6.0,33,2,1,0,0,"Foreign Born, Not a US Citizen",57,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1,19.23075,2.9565105604002095
9658,20867,594790735590674,January,SC,3012.142,903.84,37,44,1,,42,2,1,1,4,"Native, Born In US",57,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,1,24.42810810810811,3.1957344409327275
9724,21040,969055969439580,January,SC,3109.9739,615.38,37,44,1,,33,2,1,2,8,"Native, Born In US",57,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,1,16.631891891891893,2.8113220505280867
9851,21331,340600013888519,January,SD,453.2443,653.84,40,44,1,,34,2,1,2,5,"Native, Born In US",SD,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work,1,16.346,2.793983219093938
